Currency;CurrencyCd;ReportDate;Valuation
US Dollar;usd;09DEC2011;6.74385
Euro;eur;02MAY2008;9.34930
Danish Krone;dkk;09SEP2019;1.43008
US Dollar;usd;05JAN2007;6.93300
Norwegian Kroner;nok;04JUN2019;1.08546
Norwegian Kroner;nok;08NOV2016;1.09332
Euro;eur;02AUG2010;9.35110
United Kingdom Pound;gbp;09AUG2011;10.52360
Euro;eur;07DEC2015;9.25878
Norwegian Kroner;nok;07FEB2020;1.07457
Danish Krone;dkk;05OCT2018;1.40019
Danish Krone;dkk;09FEB2019;1.40638
Euro;eur;07FEB2018;9.85895
Norwegian Kroner;nok;08MAY2014;1.10525
United Kingdom Pound;gbp;03JAN2012;10.67030
Norwegian Kroner;nok;03OCT2006;1.11177
Norwegian Kroner;nok;04MAR2020;1.07457
United Kingdom Pound;gbp;09FEB2006;13.46960
Norwegian Kroner;nok;09NOV2009;1.22479
Euro;eur;01JUN2015;9.35157
Euro;eur;07SEP2018;10.50019
Norwegian Kroner;nok;06MAR2007;1.13518
Danish Krone;dkk;01AUG2007;1.24395
Danish Krone;dkk;10MAY2014;1.20969
United Kingdom Pound;gbp;02AUG2009;12.04470
Norwegian Kroner;nok;09FEB2006;1.15473
Euro;eur;06OCT2010;9.32713
United Kingdom Pound;gbp;06NOV2007;13.26790
United Kingdom Pound;gbp;03SEP2020;12.03519
United Kingdom Pound;gbp;05OCT2008;12.46370
US Dollar;usd;09DEC2009;7.12295
Norwegian Kroner;nok;04MAR2018;1.05702
Danish Krone;dkk;03AUG2019;1.43450
Australian Dollar;aud;07JUL2006;5.35848
United Kingdom Pound;gbp;05AUG2009;12.13050
US Dollar;usd;09OCT2014;7.18470
US Dollar;usd;06MAY2020;9.73445
Euro;eur;08JAN2011;8.94553
United Kingdom Pound;gbp;01JAN2009;11.20190
Danish Krone;dkk;07MAR2016;1.25080
Danish Krone;dkk;09JAN2011;1.20055
Danish Krone;dkk;07JUL2020;1.42985
Norwegian Kroner;nok;01OCT2019;1.07457
Norwegian Kroner;nok;05DEC2014;1.05498
United Kingdom Pound;gbp;10NOV2017;11.03750
Euro;eur;04NOV2014;9.29454
Danish Krone;dkk;09OCT2013;1.17251
Norwegian Kroner;nok;02OCT2011;1.17288
Euro;eur;10OCT2009;10.29680
US Dollar;usd;03AUG2006;7.18480
Australian Dollar;aud;01JAN2017;6.54800
Australian Dollar;aud;10SEP2016;6.42393
Norwegian Kroner;nok;07FEB2019;1.07812
US Dollar;usd;07JAN2006;7.70440
Euro;eur;09FEB2015;9.47440
Australian Dollar;aud;09AUG2011;6.58152
Danish Krone;dkk;08JAN2013;1.14950
US Dollar;usd;10FEB2008;6.49360
United Kingdom Pound;gbp;01MAR2012;10.54420
Norwegian Kroner;nok;09AUG2007;1.16865
Euro;eur;03JUN2007;9.31557
US Dollar;usd;06NOV2007;6.35480
US Dollar;usd;01FEB2020;9.73445
Euro;eur;01OCT2008;9.73055
Euro;eur;05FEB2016;9.41698
Danish Krone;dkk;10APR2020;1.42985
Norwegian Kroner;nok;08MAY2016;0.99236
Euro;eur;10MAR2019;10.62300
US Dollar;usd;09OCT2012;6.66515
Euro;eur;03DEC2016;9.79435
Euro;eur;04MAY2015;9.32226
Danish Krone;dkk;04NOV2014;1.24906
Norwegian Kroner;nok;05MAR2013;1.11879
United Kingdom Pound;gbp;01SEP2017;10.35819
US Dollar;usd;01JUN2012;7.23800
United Kingdom Pound;gbp;04APR2014;10.83970
Australian Dollar;aud;01APR2020;6.59509
United Kingdom Pound;gbp;05DEC2007;12.99520
United Kingdom Pound;gbp;05JAN2015;12.15026
Norwegian Kroner;nok;02JAN2011;1.14900
Euro;eur;04JAN2017;9.54843
US Dollar;usd;07OCT2007;6.47620
US Dollar;usd;05JUN2014;6.64550
Danish Krone;dkk;06DEC2019;1.42985
US Dollar;usd;04SEP2009;7.24375
United Kingdom Pound;gbp;08MAY2009;11.73830
United Kingdom Pound;gbp;07OCT2007;13.21440
Australian Dollar;aud;09OCT2013;6.11686
United Kingdom Pound;gbp;05JAN2019;11.37915
US Dollar;usd;08FEB2009;8.14250
Australian Dollar;aud;09DEC2015;6.09706
Danish Krone;dkk;03APR2015;1.25314
Norwegian Kroner;nok;02JUL2009;1.20961
United Kingdom Pound;gbp;05JUL2020;12.03519
Australian Dollar;aud;01FEB2014;5.69377
US Dollar;usd;06JUL2017;8.45145
Danish Krone;dkk;10FEB2018;1.33369
US Dollar;usd;05JUN2018;8.76850
United Kingdom Pound;gbp;10JAN2006;13.68870
Euro;eur;10MAR2014;8.86861
Australian Dollar;aud;10MAY2012;6.98959
Euro;eur;05MAY2013;8.51779
Euro;eur;06JAN2009;10.72450
Norwegian Kroner;nok;09NOV2006;1.10610
Euro;eur;05DEC2018;10.18084
Danish Krone;dkk;09NOV2007;1.24572
Australian Dollar;aud;02JAN2013;6.79500
Australian Dollar;aud;09SEP2012;6.87295
Danish Krone;dkk;10MAR2012;1.19858
Euro;eur;06AUG2009;10.31360
Australian Dollar;aud;09DEC2019;6.59509
Norwegian Kroner;nok;02JUL2011;1.16964
US Dollar;usd;04JUL2014;6.84635
US Dollar;usd;10SEP2016;8.49670
Norwegian Kroner;nok;02OCT2013;1.06309
US Dollar;usd;05OCT2008;7.06220
Euro;eur;08APR2008;9.36942
Australian Dollar;aud;10MAY2008;5.67078
Norwegian Kroner;nok;05SEP2014;1.12771
Danish Krone;dkk;06AUG2015;1.27932
Danish Krone;dkk;07MAY2018;1.41101
United Kingdom Pound;gbp;10JUL2011;10.24990
Norwegian Kroner;nok;06DEC2008;1.15581
Euro;eur;05SEP2016;9.54460
Danish Krone;dkk;07JAN2013;1.14381
Norwegian Kroner;nok;06SEP2007;1.18289
Danish Krone;dkk;08FEB2007;1.21915
Danish Krone;dkk;01NOV2018;1.38329
Danish Krone;dkk;06NOV2011;1.22321
Norwegian Kroner;nok;01OCT2020;1.07457
Australian Dollar;aud;01JAN2009;5.35160
United Kingdom Pound;gbp;10MAR2009;12.31700
Danish Krone;dkk;06MAR2017;1.28235
Euro;eur;08JUL2015;9.36827
Norwegian Kroner;nok;08MAY2013;1.11491
US Dollar;usd;10NOV2013;6.60320
Danish Krone;dkk;09MAY2015;1.24100
US Dollar;usd;08NOV2008;7.83260
Norwegian Kroner;nok;09FEB2011;1.11556
Euro;eur;03JUN2017;9.73874
Norwegian Kroner;nok;08FEB2012;1.15669
Australian Dollar;aud;09JUN2009;6.16536
Norwegian Kroner;nok;01APR2020;1.07457
Euro;eur;04NOV2019;10.67285
Danish Krone;dkk;10OCT2012;1.15369
Euro;eur;09FEB2010;10.13350
Australian Dollar;aud;07NOV2006;5.53769
Danish Krone;dkk;06JUL2007;1.23058
United Kingdom Pound;gbp;10SEP2010;11.15250
Norwegian Kroner;nok;02JAN2008;1.17964
Euro;eur;02NOV2012;8.62397
United Kingdom Pound;gbp;01MAR2008;12.29400
United Kingdom Pound;gbp;10SEP2014;11.47582
US Dollar;usd;03APR2020;9.73445
Euro;eur;05SEP2006;9.30717
Norwegian Kroner;nok;05MAR2010;1.20638
US Dollar;usd;02JUL2009;7.74900
US Dollar;usd;02JUL2007;6.79310
Australian Dollar;aud;09NOV2018;6.56268
Danish Krone;dkk;04OCT2020;1.42985
Norwegian Kroner;nok;06JUN2006;1.18552
Euro;eur;04APR2014;8.95909
Australian Dollar;aud;09JUL2006;5.35848
Euro;eur;04NOV2009;10.41610
Norwegian Kroner;nok;04JUN2018;1.07940
Danish Krone;dkk;08JUL2019;1.42108
Euro;eur;06NOV2011;9.10237
Danish Krone;dkk;10SEP2018;1.40480
Australian Dollar;aud;06NOV2010;6.68433
Danish Krone;dkk;03NOV2015;1.25897
United Kingdom Pound;gbp;02FEB2008;12.55530
Australian Dollar;aud;08AUG2011;6.74448
Norwegian Kroner;nok;08AUG2014;1.10785
US Dollar;usd;02MAY2014;6.53885
Euro;eur;08OCT2017;9.54085
US Dollar;usd;09JAN2011;6.87615
US Dollar;usd;08SEP2013;6.64345
US Dollar;usd;07AUG2016;8.58220
Norwegian Kroner;nok;05JUN2013;1.13408
Euro;eur;03SEP2019;10.81129
Euro;eur;05MAR2012;8.84316
Norwegian Kroner;nok;05SEP2011;1.18487
US Dollar;usd;03JUN2015;8.34825
US Dollar;usd;05OCT2006;7.32710
